DateTime,Entries,UniqueIPs
1465560499,4743,4743
1465561228,4749,4749
1465561977,4741,4741
1465562667,4736,4736
1465563372,4775,4775
1465564101,4769,4769
1465564817,4767,4767
1465565566,4771,4771
1465566250,4774,4774
1465566977,4780,4780
1465567739,4780,4780
1465568441,4779,4779
1465569156,4790,4790
1465569854,4804,4804
1465570573,4809,4809
1465571304,4799,4799
1465572016,4790,4790
1465572750,4788,4788
1465573450,4807,4807
1465574200,4807,4807
1465574901,4803,4803
1465575650,4781,4781
1465576341,4806,4806
1465577057,4818,4818
1465577777,4823,4823
1465578503,4819,4819
1465579216,4842,4842
1465579982,4835,4835
1465580657,4850,4850
1465581405,4847,4847
1465582098,4853,4853
1465582826,4835,4835
1465583548,4840,4840
1465584256,4833,4833
1465584974,4829,4829
1465585720,4833,4833
1465586417,4853,4853
1465587177,4841,4841
1465587851,4841,4841
1465588579,4824,4824
1465589301,4803,4803
1465590012,4803,4803
1465590741,4809,4809
1465591477,4791,4791
1465592183,4793,4793
1465592938,4784,4784
1465593615,4782,4782
1465594397,4778,4778
1465595050,4780,4780
1465595775,4782,4782
1465596495,4776,4776
1465597234,4777,4777
1465598046,4772,4772
1465598686,4777,4777
1465599373,4777,4777
1465600100,4784,4784
1465600812,4779,4779
1465601549,4778,4778
1465602251,4775,4775
1465603003,4781,4781
1465603704,4765,4765
1465604449,4771,4771
1465605149,4756,4756
1465605864,4768,4768
1465606574,4406,4406
1465607299,4467,4467
1465608015,4534,4534
1465608783,4557,4557
1465609459,4575,4575
1465610203,4593,4593
1465610897,4605,4605
1465611617,4600,4600
1465612260,4603,4603
1465613056,4599,4599
1465613777,4584,4584
1465614520,4591,4591
1465615222,4583,4583
1465615953,4586,4586
1465616652,4587,4587
1465617378,4589,4589
1465618130,4586,4586
1465618821,4587,4587
1465619552,4578,4578
1465620278,4585,4585
1465620976,4583,4583
1465621698,4592,4592
1465622414,4601,4601
1465623166,4590,4590
1465623879,4608,4608
1465624574,4587,4587
1465625300,4605,4605
1465626034,4603,4603
1465626755,4603,4603
1465627451,4608,4608
1465628190,4620,4620
1465628900,4606,4606
1465629616,4618,4618
1465630351,4622,4622
1465631051,4620,4620
1465631805,4632,4632
1465632501,4639,4639
1465633220,4634,4634
1465633970,4635,4635
1465634653,4635,4635
1465635373,4635,4635
1465636098,4643,4643
1465636816,4657,4657
1465637576,4673,4673
1465638279,4678,4678
1465638974,4675,4675
1465639710,4683,4683
1465640417,4679,4679
1465641145,4669,4669
1465641849,4670,4670
1465642601,4666,4666
1465643326,4678,4678
1465644012,4688,4688
1465644746,4686,4686
1465645718,4685,4685
1465646454,4679,4679
1465647182,4686,4686
1465647859,4696,4696
1465648577,4703,4703
1465649300,4704,4704
1465650034,4702,4702
1465650743,4696,4696
1465651460,4691,4691
1465652195,4685,4685
1465652938,4693,4693
1465653641,4692,4692
1465654350,4721,4721
1465655059,4707,4707
1465655792,4719,4719
1465656507,4723,4723
1465657248,4721,4721
1465658213,4717,4717
1465658899,4726,4726
1465659620,4741,4741
1465660286,4754,4754
1465661063,4739,4739
1465661785,4741,4741
1465662532,4751,4751
1465663214,4759,4759
1465663940,4754,4754
1465664652,4769,4769
1465665387,4778,4778
1465666111,4760,4760
1465666827,4752,4752
1465667542,4752,4752
1465668285,4760,4760
1465668994,4774,4774
1465669707,4755,4755
1465670414,4777,4777
1465671142,4773,4773
1465671863,4764,4764
1465672589,4759,4759
1465673302,4762,4762
1465674084,4757,4757
1465674738,4757,4757
1465675455,4752,4752
1465676262,4745,4745
1465676937,4746,4746
1465677617,4733,4733
1465678337,4742,4742
1465679052,4723,4723
1465679807,4750,4750
1465680499,4739,4739
1465681222,4734,4734
1465681949,4724,4724
1465682696,4707,4707
1465683381,4692,4692
1465684096,4690,4690
1465684815,4692,4692
1465685554,4687,4687
1465686251,4684,4684
1465686982,4680,4680
1465687697,4684,4684
1465688459,4675,4675
1465689142,4669,4669
1465689851,4667,4667
1465690582,4672,4672
1465691467,4664,4664
1465692292,4651,4651
1465692970,4654,4654
1465693702,4636,4636
1465694417,4638,4638
1465695164,4631,4631
1465695851,4623,4623
1465696581,4633,4633
1465697319,4643,4643
1465698058,4648,4648
1465698747,4663,4663
1465699454,4651,4651
1465700170,4648,4648
1465700897,4649,4649
1465701614,4650,4650
1465702594,4635,4635
1465703301,4641,4641
1465704037,4632,4632
1465705011,4648,4648
1465705766,4651,4651
1465706420,4651,4651
1465707137,4655,4655
1465707854,4658,4658
1465708583,4661,4661
1465709306,4666,4666
1465710017,4673,4673
1465710765,4660,4660
1465711494,4682,4682
1465712192,4688,4688
1465712903,4672,4672
1465713584,4677,4677
1465714341,4676,4676
1465715054,4688,4688
1465715781,4702,4702
1465716510,4710,4710
1465717222,4715,4715
1465717937,4722,4722
1465718658,4730,4730
1465719406,4735,4735
1465720099,4727,4727
1465720819,4736,4736
1465721545,4747,4747
1465722269,4754,4754
1465722996,4758,4758
1465723701,4765,4765
1465724415,4776,4776
1465725168,4780,4780
1465725858,4757,4757
1465726581,4777,4777
1465727308,4780,4780
1465728034,4767,4767
1465728753,4781,4781
1465729455,4781,4781
1465730181,4789,4789
1465730933,4800,4800
1465731614,4793,4793
1465732337,4800,4800
1465733063,4791,4791
1465733806,4808,4808
1465734512,4806,4806
1465735218,4801,4801
1465735941,4789,4789
1465736692,4790,4790
1465737384,4799,4799
1465738102,4804,4804
1465738819,4804,4804
1465739569,4783,4783
1465740258,4793,4793
1465740982,4811,4811
1465741708,4810,4810
1465742424,4826,4826
1465743136,4816,4816
1465743857,4811,4811
1465744609,4808,4808
1465745325,4803,4803
1465746024,4802,4802
1465746743,4809,4809
1465747451,4820,4820
1465748179,4844,4844
1465748896,4827,4827
1465749624,4824,4824
1465750365,4835,4835
1465751056,4832,4832
1465751827,4844,4844
1465752503,4848,4848
1465753229,4843,4843
1465753839,4843,4843
1465754468,4848,4848
1465755162,4843,4843
1465755853,4821,4821
1465756578,4824,4824
1465757302,4833,4833
1465758073,4838,4838
1465758749,4814,4814
1465759462,4804,4804
1465760208,4816,4816
