DateTime,Entries,UniqueIPs
1465622402,8162,8162
1465623002,8160,8160
1465623603,8156,8156
1465624204,8152,8152
1465624803,8144,8144
1465625403,8145,8145
1465626002,8141,8141
1465626603,8141,8141
1465627202,8141,8141
1465627802,8197,8197
1465628403,8284,8284
1465629003,8329,8329
1465629603,8346,8346
1465630203,8448,8448
1465630802,8535,8535
1465631401,8628,8628
1465631704,8628,8628
1465632303,8619,8619
1465632902,8611,8611
1465633204,8613,8613
1465633803,8598,8598
1465634402,8593,8593
1465635003,8584,8584
1465635602,8582,8582
1465636202,8578,8578
1465636803,8580,8580
1465637402,8583,8583
1465638002,8581,8581
1465638602,8582,8582
1465638904,8549,8549
1465639503,8549,8549
1465640102,8550,8550
1465640703,8548,8548
1465641303,8540,8540
1465641903,8542,8542
1465642503,8540,8540
1465643103,8537,8537
1465643702,8536,8536
1465644006,8442,8442
1465644603,8443,8443
1465645205,8446,8446
1465645802,8445,8445
1465646402,8447,8447
1465647007,8329,8329
1465647602,8319,8319
1465648202,8315,8315
1465648802,8315,8315
1465649403,8313,8313
1465650002,8301,8301
1465650603,8289,8289
1465651202,8285,8285
1465651807,8174,8174
1465652402,8159,8159
1465653001,8159,8159
1465653606,8046,8046
1465654202,8047,8047
1465654503,8035,8035
1465655106,7912,7912
1465655702,7908,7908
1465656302,7909,7909
1465656607,7783,7783
1465657203,7771,7771
1465658106,7628,7628
1465658703,7619,7619
1465659302,7616,7616
1465659903,7618,7618
1465660504,7610,7610
1465661102,7614,7614
1465661702,7607,7607
1465662302,7605,7605
1465662903,7603,7603
1465663502,7600,7600
1465663804,7598,7598
1465664402,7599,7599
1465665002,7594,7594
1465665602,7595,7595
1465666204,7670,7670
1465666802,7714,7714
1465667401,7748,7748
1465667703,7829,7829
1465668302,7827,7827
1465668903,8038,8038
1465669503,8038,8038
1465670103,8181,8181
1465670703,8181,8181
1465671302,8183,8183
1465671903,8292,8292
1465672503,8271,8271
1465673103,8282,8282
1465673702,8284,8284
1465674302,8285,8285
1465674904,8280,8280
1465675503,8279,8279
1465676105,8265,8265
1465676703,8261,8261
1465677302,8258,8258
1465677904,8260,8260
1465678502,8258,8258
1465679104,8253,8253
1465679703,8237,8237
1465680005,8234,8234
1465680602,8219,8219
1465681205,8217,8217
1465681802,8218,8218
1465682403,8216,8216
1465683003,8213,8213
1465683603,8210,8210
1465683904,8207,8207
1465684502,8211,8211
1465684804,8210,8210
1465685403,8199,8199
1465686002,8202,8202
1465686603,8198,8198
1465687202,8202,8202
1465687802,8201,8201
1465688404,8197,8197
1465689002,8199,8199
1465689303,8198,8198
1465689903,8196,8196
1465690502,8196,8196
1465691102,8195,8195
1465691404,8193,8193
1465692003,8192,8192
1465692602,8193,8193
1465693202,8192,8192
1465693803,8179,8179
1465694402,8182,8182
1465695002,8179,8179
1465695604,8178,8178
1465696202,8174,8174
1465696802,8176,8176
1465697405,8179,8179
1465698002,8181,8181
1465698601,8185,8185
1465699201,8185,8185
1465699802,8188,8188
1465700403,8190,8190
1465701004,8192,8192
1465701602,8193,8193
1465702203,8189,8189
1465702802,8190,8190
1465703105,8188,8188
1465703702,8189,8189
1465704302,8186,8186
1465704903,8183,8183
1465705502,8188,8188
1465706103,8181,8181
1465706702,8178,8178
1465707302,8175,8175
1465707902,8175,8175
1465708503,8173,8173
1465709103,8167,8167
1465709703,8161,8161
1465710302,8161,8161
1465710904,8160,8160
1465711502,8157,8157
1465712102,8149,8149
1465712704,8146,8146
1465713305,8143,8143
1465713902,8139,8139
1465714205,8083,8083
1465714813,7993,7993
1465715404,7948,7948
1465716004,7947,7947
1465716306,7834,7834
1465716905,7742,7742
1465717502,7742,7742
1465717806,7643,7643
1465718402,7636,7636
1465719004,7639,7639
1465719604,7632,7632
1465720202,7631,7631
1465720802,7634,7634
1465721104,7633,7633
1465721702,7636,7636
1465722302,7636,7636
1465722903,7636,7636
1465723503,7632,7632
1465724102,7634,7634
1465724703,7630,7630
1465725303,7630,7630
1465725902,7630,7630
1465726502,7628,7628
1465727103,7631,7631
1465727702,7631,7631
1465728003,7622,7622
1465728602,7622,7622
1465729204,7606,7606
1465729802,7604,7604
1465730104,7604,7604
1465730702,7609,7609
1465731302,7602,7602
1465731902,7608,7608
1465732503,7608,7608
1465733102,7609,7609
1465733701,7615,7615
1465734003,7615,7615
1465734602,7617,7617
1465735203,7615,7615
1465735802,7618,7618
1465736104,7616,7616
1465736703,7617,7617
1465737302,7618,7618
1465737902,7611,7611
1465738503,7606,7606
1465739103,7608,7608
1465739703,7592,7592
1465740302,7585,7585
1465740903,7568,7568
1465741502,7561,7561
1465742102,7567,7567
1465742702,7567,7567
1465743302,7562,7562
1465743902,7568,7568
1465744502,7565,7565
1465745101,7567,7567
1465745403,7554,7554
1465746003,7543,7543
1465746602,7568,7568
1465747202,7566,7566
1465747803,7644,7644
1465748402,7773,7773
1465749001,7769,7769
1465749303,7828,7828
1465749903,7831,7831
1465750504,7915,7915
1465751102,7916,7916
1465751702,7915,7915
1465752302,8011,8011
1465752605,7939,7939
1465753205,7893,7893
1465753803,7855,7855
1465754105,7782,7782
1465754702,7905,7905
1465755011,7696,7696
1465755602,7694,7694
1465756204,7692,7692
1465756507,7557,7557
1465757103,7548,7548
1465757704,7545,7545
1465758005,7442,7442
1465758602,7427,7427
